"RegioS","Perioden","MediaanPersoonlijkInkomen_7","GemiddeldPersoonlijkInkomen_6"
"CR22  ","2013JJ00",7.3,10.9
"CR22  ","2014JJ00",7.1,10.6
"CR22  ","2015JJ00",7.3,10.8
"CR22  ","2016JJ00",7.3,11
"CR22  ","2017JJ00",7.6,11.4
"CR22  ","2018JJ00",7.9,11.9
"CR22  ","2019JJ00",8.3,12.5
"CR22  ","2020JJ00",8.5,13.1
"CR22  ","2021JJ00",8.9,13.6
"CR22  ","2022JJ00",10.2,14.9
"CR22  ","2023JJ00",11.8,16.5
"CR22  ","2024JJ00",13.4,17.8
"CR23  ","2011JJ00",7,10.3
"CR23  ","2012JJ00",6.9,10.2
"CR23  ","2013JJ00",6.7,10
"CR23  ","2014JJ00",6.8,10
"CR23  ","2015JJ00",7.1,10.3
"CR23  ","2016JJ00",7.2,10.6
"CR23  ","2017JJ00",7.4,11
"CR23  ","2018JJ00",7.6,11.6
"CR23  ","2019JJ00",7.8,12.2
"CR23  ","2020JJ00",7.9,12.5
"CR23  ","2021JJ00",8.4,13
"CR23  ","2022JJ00",9.3,14.2
"CR23  ","2023JJ00",10.6,15.5
"CR23  ","2024JJ00",12.2,16.9
"CR24  ","2011JJ00",6,9.8
"CR24  ","2012JJ00",5.8,9.7
"CR24  ","2013JJ00",5.7,9.6
"CR24  ","2014JJ00",5.5,9.3
"CR24  ","2015JJ00",5.6,9.5
"CR24  ","2016JJ00",5.4,9.5
"CR24  ","2017JJ00",5.2,9.5
"CR24  ","2018JJ00",5.4,9.8
"CR24  ","2019JJ00",5.5,10.2
"CR24  ","2020JJ00",5.7,10.5
"CR24  ","2021JJ00",6,10.8
"CR24  ","2022JJ00",6.7,11.7
"CR24  ","2023JJ00",7.6,12.7
"CR24  ","2024JJ00",9.2,14.4
"CR25  ","2011JJ00",6.7,10.5
"CR25  ","2012JJ00",6.6,10.4
"CR25  ","2013JJ00",6.3,10.1
"CR25  ","2014JJ00",6.2,10
"CR25  ","2015JJ00",6.2,9.9
"CR25  ","2016JJ00",6.1,10
"CR25  ","2017JJ00",6.2,10.1
"CR25  ","2018JJ00",6.3,10.6
"CR25  ","2019JJ00",6.6,11.1
"CR25  ","2020JJ00",7.1,11.7
"CR25  ","2021JJ00",7.5,12.2
"CR25  ","2022JJ00",8.1,13.1
"CR25  ","2023JJ00",9.4,14.5
"CR25  ","2024JJ00",11.3,15.9
"CR26  ","2011JJ00",6.9,10.3
"CR26  ","2012JJ00",6.6,10.1
"CR26  ","2013JJ00",6.4,9.8
"CR26  ","2014JJ00",6.3,9.6
"CR26  ","2015JJ00",6.5,9.7
"CR26  ","2016JJ00",6.6,9.9
"CR26  ","2017JJ00",6.8,10.3
"CR26  ","2018JJ00",7,10.8
"CR26  ","2019JJ00",7.1,11.2
"CR26  ","2020JJ00",7.3,11.7
